亚科	subfamily	族	tribe	属	genus 	种	species	产地编号	male	female	照片	备注
大叶蝉亚科	Cicadellinae	0	0	条大叶蝉属	Atkinsoniella	磺条大叶蝉	sulphurata	10,16,19,32,33	0	9		
大叶蝉亚科	Cicadellinae	0	0	条大叶蝉属	Atkinsoniella	短or黑圆条大叶蝉	sp	18,19	2	1		
大叶蝉亚科	Cicadellinae	0	0	条大叶蝉属	Atkinsoniella	湖北条大叶蝉	hupehna	22	0	1		
大叶蝉亚科	Cicadellinae	0	0	条大叶蝉属	Atkinsoniella	橙色条大叶蝉	aurantiaca	13,14,22	7	9		
大叶蝉亚科	Cicadellinae	0	0	条大叶蝉属	Atkinsoniella	格氏条大叶蝉	grahami	10,11,17,20	5	2		
大叶蝉亚科	Cicadellinae	0	0	条大叶蝉属	Atkinsoniella	格or黄条大叶蝉	sp	3	1	0		
大叶蝉亚科	Cicadellinae	0	0	条大叶蝉属	Atkinsoniella	三齿条大叶蝉	tridentata	19,20,32	6	4		
大叶蝉亚科	Cicadellinae	0	0	斑大叶蝉属	Anatkina	黑腹斑大叶蝉	nigriventris	10,11,15,16	1	3		
大叶蝉亚科	Cicadellinae	0	0	凸唇叶蝉属	Erragonalia	未知凸唇叶蝉	sp2	11	0	1		
大叶蝉亚科	Cicadellinae	0	0	凸唇叶蝉属	Erragonalia	（burmana新记录？）凸唇叶蝉	sp	10,11	3	0		
